order_id,amount_inr,created_at,status,customer_email,merchant_id,store_id
order_amz_20000001,4778.21,02-08-2026 07:08,completed,amz_customer_1@example.com,amazon,az_mumbai
order_amz_20000002,3793.97,03-08-2026 14:21,completed,amz_customer_2@example.com,amazon,az_bangalore
order_amz_20000003,3193.96,04-08-2026 21:34,completed,amz_customer_3@example.com,amazon,az_hyderabad
order_amz_20000004,1202.08,05-08-2026 04:47,completed,amz_customer_4@example.com,amazon,az_delhi
order_amz_20000005,1201.98,06-08-2026 11:00,completed,amz_customer_5@example.com,amazon,az_mumbai
order_amz_20000006,761.38,07-08-2026 18:13,completed,amz_customer_6@example.com,amazon,az_bangalore
order_amz_20000007,4397.79,08-08-2026 01:26,completed,amz_customer_7@example.com,amazon,az_hyderabad
order_amz_20000008,3205.02,09-08-2026 08:39,completed,amz_customer_8@example.com,amazon,az_delhi
order_amz_20000009,3686.33,10-08-2026 15:52,completed,amz_customer_9@example.com,amazon,az_mumbai
order_amz_20000010,392.63,11-08-2026 22:05,completed,amz_customer_10@example.com,amazon,az_bangalore
order_amz_20000011,4864.59,12-08-2026 05:18,completed,amz_customer_11@example.com,amazon,az_hyderabad
order_amz_20000013,1455.53,14-08-2026 19:44,completed,amz_customer_13@example.com,amazon,az_mumbai
order_amz_20000014,1318.21,15-08-2026 01:57,completed,amz_customer_14@example.com,amazon,az_bangalore
order_amz_20000015,1325.32,16-08-2026 09:10,completed,amz_customer_15@example.com,amazon,az_hyderabad
order_amz_20000016,1869.09,17-08-2026 16:23,completed,amz_customer_16@example.com,amazon,az_delhi
order_amz_20000017,2861.4,18-08-2026 23:36,completed,amz_customer_17@example.com,amazon,az_mumbai
order_amz_20000018,2443.75,19-08-2026 06:49,pending,amz_customer_18@example.com,amazon,az_bangalore
order_amz_20000019,1810.53,20-08-2026 13:02,completed,amz_customer_19@example.com,amazon,az_hyderabad
order_amz_20000020,3253.34,21-08-2026 20:15,completed,amz_customer_20@example.com,amazon,az_delhi
order_amz_20000021,1127.72,01-08-2026 03:28,completed,amz_customer_21@example.com,amazon,az_mumbai
order_amz_20000022,1814.65,02-08-2026 10:41,completed,amz_customer_22@example.com,amazon,az_bangalore
order_amz_20000023,2148.63,03-08-2026 17:54,completed,amz_customer_23@example.com,amazon,az_hyderabad
order_amz_20000024,2552.31,04-08-2026 00:07,completed,amz_customer_24@example.com,amazon,az_delhi
order_amz_20000025,4033.29,05-08-2026 07:20,failed,amz_customer_25@example.com,amazon,az_mumbai
order_amz_20000026,1398.53,06-08-2026 14:33,completed,amz_customer_26@example.com,amazon,az_bangalore
order_amz_20000027,2814.05,07-08-2026 21:46,completed,amz_customer_27@example.com,amazon,az_hyderabad
order_amz_20000028,3165.87,08-08-2026 03:59,completed,amz_customer_28@example.com,amazon,az_delhi
order_amz_20000029,709.03,09-08-2026 11:12,completed,amz_customer_29@example.com,amazon,az_mumbai
order_amz_20000030,3233.95,10-08-2026 18:25,completed,amz_customer_30@example.com,amazon,az_bangalore
order_amz_20000031,1267.36,11-08-2026 01:38,completed,amz_customer_31@example.com,amazon,az_hyderabad
order_amz_20000032,792.73,12-08-2026 08:51,completed,amz_customer_32@example.com,amazon,az_delhi
order_amz_20000033,4769.98,13-08-2026 15:04,completed,amz_customer_33@example.com,amazon,az_mumbai
order_amz_20000034,4845.34,14-08-2026 22:17,completed,amz_customer_34@example.com,amazon,az_bangalore
order_amz_20000035,4137.79,15-08-2026 05:30,completed,amz_customer_35@example.com,amazon,az_hyderabad
order_amz_20000036,1870.76,16-08-2026 12:43,completed,amz_customer_36@example.com,amazon,az_delhi
order_amz_20000037,939.52,17-08-2026 18:56,completed,amz_customer_37@example.com,amazon,az_mumbai
order_amz_20000038,3579.05,18-08-2026 02:09,completed,amz_customer_38@example.com,amazon,az_bangalore
order_amz_20000039,2480.69,19-08-2026 09:22,completed,amz_customer_39@example.com,amazon,az_hyderabad
order_amz_20000040,1049.17,20-08-2026 16:35,completed,amz_customer_40@example.com,amazon,az_delhi
order_amz_20000041,2728.3,21-08-2026 23:48,completed,amz_customer_41@example.com,amazon,az_mumbai
order_amz_20000042,654.75,01-08-2026 06:01,completed,amz_customer_42@example.com,amazon,az_bangalore
order_amz_20000043,4591.94,02-08-2026 13:14,completed,amz_customer_43@example.com,amazon,az_hyderabad
order_amz_20000044,1664.51,03-08-2026 20:27,completed,amz_customer_44@example.com,amazon,az_delhi
order_amz_99999999,2400.0,15-08-2026 10:00,completed,amz_orphan@example.com,amazon,az_delhi
